,job_title,company,experience,salary,location,description,tags_associated,function_area,posting_date,scarping_date
418,Exports Logistics / Shipping Manager,Kishor Exports,2-7 Yrs,3-8 Lacs PA,Agra, The candidate with relevant work experience in International Trading Houses/ Exports Ma...,Export,Shipping Logistics management shipment duty drawback trade export logistics,16 Days Ago,2023-03-07
419,Shipping Manager,Nidhi Maritime Consultancy,8-10 Yrs,Not disclosed,Remote, Should have 5+ Years of experience in Shipping. . - Should be from FMCG industry,clearing,software testing freight shipping operations import export relationship building import export,30+ Days Ago,2023-03-07
420,Manager Operation- Shipping,Pplanet Hr Services,7-10 Yrs,Not disclosed,Mumbai, Manager Operation- Shipping Date - 13/ 12/ 2016 Exp - 7-10 Yrs Job Location - Mumbai sh...,shipping,management operations client client coordination operations management coordination Operations Manager,30+ Days Ago,2023-03-07
421,Business Intelligence Architect,Axtria,7-12 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Delhi / NCR", Roles and Responsibilities 1. Technology Leadership Lead guide the team independently o...,Business Intelligence,Dashboards tableau intelligence bi data power bi qlik,1 Day Ago,2023-03-07
422,Senior Business Intelligence Analyst,Wolters Kluwer,4-7 Yrs,Not disclosed,Pune, Experience buildings reports and dashboard in Power BI from Salesforce data. . Power BI...,senior,business intelligence analytics operations power bi architecture salesforce subject,12 Days Ago,2023-03-07
423,Data Warehousing (DW) & Business Intelligence (BI) Lead,Explarity Solutions Pvt Ltd,7-12 Yrs,Not disclosed,"Pune, Sangli"," We are looking for a Data Warehousing Architect & BI Lead to build, optimize and mainta...",Cloud Data Migration,Snowflake BI Data Warehousing warehouse sql oracle cloud,5 Days Ago,2023-03-07
424,Power BI Developer- Data Modeling/Business Intelligence,Huquo Consulting,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru", - Recognize business requirements in the context of BI and create data models to transf...,Power BI,business intelligence intelligence data modeling modeling bi analytics data,11 Days Ago,2023-03-07
425,Power BI Developer - Data Modeling/Business Intelligence,Huquo Consulting,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru", Responsibilities :- Recognize business requirements in the context of BI and create dat...,Software development,warehouse dax queries sql dax data modeling power bi ms sql serve,11 Days Ago,2023-03-07
426,Senior Data Analyst 1- Business Intelligence,Axa Technology Services,4-5 Yrs,Not disclosed,Bangalore/Bengaluru," Requires a combination of solid execution, strategic thinking and ability to connect th...",data analysis,data quality analytics data client root cause analysis stakeholder management business intelligence,14 Days Ago,2023-03-07
427,MicroStrategy Business Intelligence(BI) Application Developer,Accenture,4-6 Yrs,Not disclosed,Bangalore/Bengaluru," Key Responsibilities : a:Extensive experience with Data Modeling, Architecture, Schema ...",Microstrategy,Data modeling Cognos Consulting SQL modeling analytics intelligence,14 Days Ago,2023-03-07
